Course Code,Course Title,HEI Code,HEI,ISCED,R1 Points,Year
AC120,International Business,AC,American College,Business and administration,209,2020
AC137,Liberal Arts,AC,American College,Humanities (except languages),252,2020
AD101,"First Year Art & Design (Common Entry,portfolio)",AD,National College of Art and Design,Arts,#+matric,2020
AD102,Graphic Design and Moving Image Design (portfolio),AD,National College of Art and Design,Arts,#+matric,2020
AD103,Textile & Surface Design and Jewellery & Objects (portfolio),AD,National College of Art and Design,Arts,#+matric,2020
AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",AD,National College of Art and Design,Education,#+matric,2020
AD204,Fine Art (portfolio),AD,National College of Art and Design,Arts,#+matric,2020
AD211,Fashion Design (portfolio),AD,National College of Art and Design,Arts,#+matric,2020
AD212,Product Design (portfolio),AD,National College of Art and Design,Arts,#+matric,2020
AD215,Visual Culture,AD,National College of Art and Design,Arts,377,2020
AD217,Illustration (portfolio),AD,National College of Art and Design,Arts,#+matric,2020
AD222,Interaction Design (portfolio),AD,National College of Art and Design,Information and Communication Technologies (ICTs),#+matric,2020
AL801,Software Design with Virtual Reality and Gaming,AL,Athlone Institute of Technology,Information and Communication Technologies (ICTs),303,2020
AL802,Software Design with Artificial Intelligence for Cloud Computing,AL,Athlone Institute of Technology,Information and Communication Technologies (ICTs),332,2020
AL803,Software Design with Mobile Apps and Connected Devices,AL,Athlone Institute of Technology,Information and Communication Technologies (ICTs),337,2020
AL805,Computer Engineering with Network Infrastructure,AL,Athlone Institute of Technology,Information and Communication Technologies (ICTs),333,2020
AL810,Quantity Surveying,AL,Athlone Institute of Technology,Architecture and construction,319,2020
AL811,Civil Engineering,AL,Athlone Institute of Technology,Architecture and construction,320,2020
AL820,Mechanical and Polymer Engineering,AL,Athlone Institute of Technology,Manufacturing and processing,308,2020
AL830,General Nursing,AL,Athlone Institute of Technology,Health,442,2020
AL832,Psychiatric Nursing,AL,Athlone Institute of Technology,Health,387,2020
AL836,Nutrition and Health Science,AL,Athlone Institute of Technology,Health,334,2020
AL837,Sports Science with Exercise Physiology,AL,Athlone Institute of Technology,Personal services,351,2020
AL838,Biotechnology,AL,Athlone Institute of Technology,Biological and related sciences,307,2020
AL839,Microbiology,AL,Athlone Institute of Technology,Biological and related sciences,325,2020
AL840,Pharmaceutical Sciences,AL,Athlone Institute of Technology,Physical sciences,347,2020
AL841,Athletic and Rehabilitation Therapy,AL,Athlone Institute of Technology,Health,430,2020
AL842,Bioveterinary Science,AL,Athlone Institute of Technology,Biological and related sciences,313,2020
AL843,Physical Activity and Health Science,AL,Athlone Institute of Technology,Health,306,2020
AL850,Business,AL,Athlone Institute of Technology,Business and administration,309,2020
AL851,Business and Law,AL,Athlone Institute of Technology,Law,295,2020
AL852,Accounting,AL,Athlone Institute of Technology,Business and administration,309,2020
AL854,Sport Management (with international placement),AL,Athlone Institute of Technology,Personal services,302,2020
AL855,Hospitality Management (with international placement),AL,Athlone Institute of Technology,Personal services,308,2020
AL857,Digital Marketing,AL,Athlone Institute of Technology,Business and administration,304,2020
AL860,Social Care Practice,AL,Athlone Institute of Technology,Welfare,300,2020
AL861,Animation and Illustration (portfolio),AL,Athlone Institute of Technology,Arts,578,2020
AL863,Graphic and Digital Design (portfolio),AL,Athlone Institute of Technology,Arts,781,2020
AL864,Early Years Care and Education,AL,Athlone Institute of Technology,Welfare,307,2020
AL870,Applied Psychology,AL,Athlone Institute of Technology,Social and behavioural sciences,418,2020
AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",AS,St. Angela`s College,Education,510,2020
AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",AS,St. Angela`s College,Education,441,2020
AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",AS,St. Angela`s College,Education,440,2020
AS051,"Nutrition, Food and Business Management",AS,St. Angela`s College,Business and administration,328,2020
AS054,Home Economics,AS,St. Angela`s College,Biological and related sciences,408,2020
AS110,General Nursing,AS,St. Angela`s College,Health,419,2020
AS130,Intellectual Disability Nursing,AS,St. Angela`s College,Health,336,2020
CI110,Counselling and Psychotherapy,CI,Irish College of Humanities & Applied Sciences,Welfare,310,2020
CI111,Counselling and Addiction Studies,CI,Irish College of Humanities & Applied Sciences,Welfare,301,2020
CI112,Counselling and Youth Studies,CI,Irish College of Humanities & Applied Sciences,Welfare,311,2020
CK101,Arts - 3 years,CK,University College Cork (NUI),Arts,300,2020
CK102,Social Science,CK,University College Cork (NUI),Social and behavioural sciences,412,2020
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK,University College Cork (NUI),Arts,302,2020
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),CK,University College Cork (NUI),Arts,368,2020
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK,University College Cork (NUI),Humanities (except languages),328,2020
CK108,Arts International - 4 years,CK,University College Cork (NUI),Languages,401,2020
CK109,English - 3 years or 4 years (International Pathway),CK,University College Cork (NUI),Languages,318,2020
CK110,World Languages,CK,University College Cork (NUI),Languages,452,2020
CK111,Early Years and Childhood Studies,CK,University College Cork (NUI),Welfare,419,2020
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK,University College Cork (NUI),Arts,330,2020
CK113,Criminology - 3 years or 4 years (International Pathway),CK,University College Cork (NUI),Social and behavioural sciences,423,2020
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK,University College Cork (NUI),Arts,336,2020
CK120,Applied Psychology,CK,University College Cork (NUI),Social and behavioural sciences,533,2020
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK,University College Cork (NUI),Social and behavioural sciences,466,2020
CK122,Government and Political Science,CK,University College Cork (NUI),Social and behavioural sciences,337,2020
CK123,Anthropology,CK,University College Cork (NUI),Humanities (except languages),308,2020
CK124,Education - Gaeilge,CK,University College Cork (NUI),Education,463,2020
CK125,Sports Studies and Physical Education,CK,University College Cork (NUI),Education,510,2020
CK201,Commerce,CK,University College Cork (NUI),Business and administration,477,2020
CK202,Accounting,CK,University College Cork (NUI),Business and administration,509,2020
CK203,Business Information Systems,CK,University College Cork (NUI),Information and Communication Technologies (ICTs),430,2020
CK204,Finance,CK,University College Cork (NUI),Business and administration,556,2020
CK205,Commerce (International) with French,CK,University College Cork (NUI),Business and administration,445,2020
CK206,Commerce (International) with German,CK,University College Cork (NUI),Business and administration,420,2020
CK207,Commerce (International) with Italian,CK,University College Cork (NUI),Business and administration,388,2020
CK208,Commerce (International) with Hispanic Studies,CK,University College Cork (NUI),Business and administration,402,2020
CK209,Commerce (International) with Irish,CK,University College Cork (NUI),Business and administration,484,2020
CK211,Commerce (International) with Chinese Studies,CK,University College Cork (NUI),Business and administration,397,2020
CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK,University College Cork (NUI),Social and behavioural sciences,444,2020
CK213,Food Marketing and Entrepreneurship,CK,University College Cork (NUI),Business and administration,462,2020
CK214,International Development,CK,University College Cork (NUI),Social and behavioural sciences,346,2020
CK301,Law (Pathways) -  3 or 4 years,CK,University College Cork (NUI),Law,507,2020
CK302,Law and French,CK,University College Cork (NUI),Law,542,2020
CK304,Law and Irish,CK,University College Cork (NUI),Law,540,2020
CK307,Law and Business,CK,University College Cork (NUI),Law,556,2020
CK401,Computer Science,CK,University College Cork (NUI),Information and Communication Technologies (ICTs),468,2020
CK402,Biological and Chemical Sciences,CK,University College Cork (NUI),Biological and related sciences,510,2020
CK404,"Biological, Earth and Environmental Sciences",CK,University College Cork (NUI),Biological and related sciences,467,2020
CK405,Genetics,CK,University College Cork (NUI),Biological and related sciences,487,2020
CK406,Chemical Sciences,CK,University College Cork (NUI),Physical sciences,485,2020
CK407,Mathematical Sciences,CK,University College Cork (NUI),Mathematics and statistics,566,2020
CK408,Physics and Astrophysics,CK,University College Cork (NUI),Physical sciences,554,2020
CK409,Industrial Physics - Offered jointly by UCC and CIT,CK,University College Cork (NUI),Physical sciences,432,2020
CK411,Data Science and Analytics,CK,University College Cork (NUI),Information and Communication Technologies (ICTs),510,2020
CK412,Agricultural Science,CK,University College Cork (NUI),Agriculture,496,2020
CK504,Nutritional Sciences,CK,University College Cork (NUI),Biological and related sciences,518,2020
CK505,Food Science,CK,University College Cork (NUI),Manufacturing and processing,441,2020
CK600,Engineering,CK,University College Cork (NUI),Engineering and engineering trades,487,2020
CK606,Architecture - Offered jointly by UCC and CIT,CK,University College Cork (NUI),Architecture and construction,484,2020
CK701,Medicine (Undergraduate Entry - HPAT required),CK,University College Cork (NUI),Health,731,2020
CK702,Dentistry,CK,University College Cork (NUI),Health,613,2020
CK703,Pharmacy,CK,University College Cork (NUI),Health,590,2020
CK704,Occupational Therapy,CK,University College Cork (NUI),Health,566,2020
CK705,Speech and Language Therapy,CK,University College Cork (NUI),Health,520,2020
CK706,Public Health Sciences,CK,University College Cork (NUI),Health,454,2020
CK707,Medical and Health Sciences,CK,University College Cork (NUI),Health,542,2020
CK710,General Nursing,CK,University College Cork (NUI),Health,454,2020
CK712,Children`s and General Nursing (Integrated),CK,University College Cork (NUI),Health,533,2020
CK720,Mental Health Nursing,CK,University College Cork (NUI),Health,423,2020
CK730,Intellectual Disability Nursing,CK,University College Cork (NUI),Health,419,2020
CK740,Midwifery,CK,University College Cork (NUI),Health,484,2020
CK791,Medicine  - Graduate Entry (GAMSAT required),CK,University College Cork (NUI),Health,57,2020
CM001,Education - Primary Teaching,CM,Marino Institute of Education,Education,484,2020
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM,Marino Institute of Education,Education,528,2020
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM,Marino Institute of Education,Education,494,2020
CM010,Education Studies,CM,Marino Institute of Education,Education,319,2020
CM020,Early Childhood Education,CM,Marino Institute of Education,Education,327,2020
CR105,Chemical and Biopharmaceutical Engineering,CR,Cork Institute of Technology,Engineering and engineering trades,443,2020
CR106,Software Development,CR,Cork Institute of Technology,Information and Communication Technologies (ICTs),411,2020
CR108,Mechanical Engineering,CR,Cork Institute of Technology,Engineering and engineering trades,434,2020
CR109,Structural Engineering,CR,Cork Institute of Technology,Architecture and construction,394,2020
CR110,Automotive Business Management and Technology,CR,Cork Institute of Technology,Transport services,311,2020
CR112,Creative Digital Media,CR,Cork Institute of Technology,Arts,361,2020
CR116,Computer Systems,CR,Cork Institute of Technology,Information and Communication Technologies (ICTs),332,2020
CR121,Music at CIT Cork School of Music,CR,Cork Institute of Technology,Arts,868,2020
CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,CR,Cork Institute of Technology,Arts,1088,2020
CR126,Popular Music: Drums at CIT Cork School of Music,CR,Cork Institute of Technology,Arts,801,2020
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,CR,Cork Institute of Technology,Arts,838,2020
CR128,Popular Music: Keyboards at CIT Cork School of Music,CR,Cork Institute of Technology,Arts,840,2020
CR129,Popular Music: Voice at CIT Cork School of Music,CR,Cork Institute of Technology,Arts,841,2020
CR130,Musical Theatre at CIT Cork School of Music,CR,Cork Institute of Technology,Arts,548,2020
CR150,Business Information Systems,CR,Cork Institute of Technology,Business and administration,335,2020
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR,Cork Institute of Technology,Arts,#+matric,2020
CR220,Fine Art at CIT Crawford College of Art and Design,CR,Cork Institute of Technology,Arts,#+matric,2020
CR225,Photography with New Media,CR,Cork Institute of Technology,Arts,#+matric,2020
CR305,Physical Sciences (Common Entry),CR,Cork Institute of Technology,Physical sciences,282,2020
CR310,IT Management,CR,Cork Institute of Technology,Information and Communication Technologies (ICTs),297,2020
CR320,Biomedical Science - Offered jointly by CIT and UCC,CR,Cork Institute of Technology,Biological and related sciences,565,2020
CR325,Pharmaceutical Biotechnology,CR,Cork Institute of Technology,Biological and related sciences,398,2020
CR333,Nutrition and Health Science,CR,Cork Institute of Technology,Health,402,2020
CR335,Biological Sciences (Common Entry),CR,Cork Institute of Technology,Biological and related sciences,420,2020
CR340,Analytical Chemistry with Quality Assurance,CR,Cork Institute of Technology,Physical sciences,251,2020
CR360,Instrument Engineering,CR,Cork Institute of Technology,Physical sciences,261,2020
CR365,Environmental Science and Sustainable Technology,CR,Cork Institute of Technology,Environment,253,2020
CR370,Agri-Biosciences,CR,Cork Institute of Technology,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",397,2020
CR400,Accounting,CR,Cork Institute of Technology,Business and administration,316,2020
CR420,Marketing,CR,Cork Institute of Technology,Business and administration,285,2020
CR425,International Business with Language,CR,Cork Institute of Technology,Business and administration,298,2020
CR430,Sport and Exercise Management,CR,Cork Institute of Technology,Personal services,322,2020
CR440,Montessori Education,CR,Cork Institute of Technology,Education,288,2020
CR500,Engineering (Common Entry),CR,Cork Institute of Technology,Engineering and engineering trades,411,2020
CR510,Sustainable Energy Engineering,CR,Cork Institute of Technology,Environment,320,2020
CR520,Biomedical Engineering,CR,Cork Institute of Technology,Health,444,2020
CR560,Architectural Technology,CR,Cork Institute of Technology,Architecture and construction,308,2020
CR565,Interior Architecture,CR,Cork Institute of Technology,Architecture and construction,359,2020
CR570,Quantity Surveying,CR,Cork Institute of Technology,Architecture and construction,336,2020
CR572,Construction Management,CR,Cork Institute of Technology,Architecture and construction,269,2020
CR580,Electrical Engineering,CR,Cork Institute of Technology,Engineering and engineering trades,318,2020
CR590,Electronic Engineering,CR,Cork Institute of Technology,Engineering and engineering trades,303,2020
CR600,Visual Communications,CR,Cork Institute of Technology,Arts,#+matric,2020
CR660,Tourism Management,CR,Cork Institute of Technology,Personal services,252,2020
CR700,Theatre and Drama Studies at CIT Cork School of Music,CR,Cork Institute of Technology,Arts,740,2020
CT125,Information Technology,CT,CCT College Dublin,Information and Communication Technologies (ICTs),220,2020
CT325,Business,CT,CCT College Dublin,Business and administration,338,2020
CW018,Business (options),CW,"Institute of Technology, Carlow",Business and administration,298,2020
CW028,Early Childhood Education and Care,CW,"Institute of Technology, Carlow",Welfare,252,2020
CW038,Art (portfolio),CW,"Institute of Technology, Carlow",Arts,700,2020
CW058,Tourism and Event Management,CW,"Institute of Technology, Carlow",Personal services,298,2020
CW068,Applied Social Studies in Professional Social Care,CW,"Institute of Technology, Carlow",Welfare,245,2020
CW078,Sustainable Farm Management and Agribusiness,CW,"Institute of Technology, Carlow",Agriculture,269,2020
CW088,Visual Communications and Design,CW,"Institute of Technology, Carlow",Arts,274,2020
CW108,Science (options),CW,"Institute of Technology, Carlow",Biological and related sciences,261,2020
CW128,Brewing and Distilling,CW,"Institute of Technology, Carlow",Biological and related sciences,263,2020
CW138,Sport and Exercise Science,CW,"Institute of Technology, Carlow",Personal services,423,2020
CW148,Strength and Conditioning,CW,"Institute of Technology, Carlow",Personal services,379,2020
CW188,Sport Rehabilitation and Athletic Therapy,CW,"Institute of Technology, Carlow",Health,451,2020
CW208,Computer Games Development,CW,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),279,2020
CW238,Software Development,CW,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),297,2020
CW248,Information Technology Management,CW,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),285,2020
CW258,Cybercrime and IT Security,CW,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),293,2020
CW268,Computing in Interactive Digital Art and Design,CW,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),287,2020
CW438,Construction (options),CW,"Institute of Technology, Carlow",Architecture and construction,272,2020
CW468,Architectural Technology,CW,"Institute of Technology, Carlow",Architecture and construction,262,2020
CW478,Civil Engineering,CW,"Institute of Technology, Carlow",Architecture and construction,433,2020
CW548,Mechanical Engineering,CW,"Institute of Technology, Carlow",Engineering and engineering trades,321,2020
CW558,Electronic Systems,CW,"Institute of Technology, Carlow",Engineering and engineering trades,280,2020
CW568,Aerospace Engineering,CW,"Institute of Technology, Carlow",Engineering and engineering trades,380,2020
CW578,TV and Media Production,CW,"Institute of Technology, Carlow",Arts,325,2020
CW708,Law - LLB,CW,"Institute of Technology, Carlow",Law,302,2020
CW728,Product Design Innovation,CW,"Institute of Technology, Carlow",Arts,252,2020
CW748,Early Childhood Education and Care,CW,"Institute of Technology, Carlow",Welfare,270,2020
CW758,Professional Social Care Practice,CW,"Institute of Technology, Carlow",Welfare,336,2020
CW808,Media and Public Relations,CW,"Institute of Technology, Carlow",Business and administration,251,2020
CW848,Digital Marketing with Analytics,CW,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),254,2020
CW858,"Sports Management and Coaching (options, portfolio)",CW,"Institute of Technology, Carlow",Personal services,700,2020
CW908,Business (options),CW,"Institute of Technology, Carlow",Business and administration,280,2020
CW938,Business with Law,CW,"Institute of Technology, Carlow",Business and administration,283,2020
CW948,Accounting,CW,"Institute of Technology, Carlow",Business and administration,300,2020
DB500,Computing,DB,Dublin Business School,Information and Communication Technologies (ICTs),218,2020
DB501,Computing (Cloud Computing),DB,Dublin Business School,Information and Communication Technologies (ICTs),227,2020
DB502,Computing (Data Analytics and Big Data),DB,Dublin Business School,Information and Communication Technologies (ICTs),341,2020
DB503,Computing (Software Development),DB,Dublin Business School,Information and Communication Technologies (ICTs),225,2020
DB510,Audio Production and Music Project Management,DB,Dublin Business School,Arts,234,2020
DB512,Business Studies,DB,Dublin Business School,Business and administration,218,2020
DB514,Business Studies (Law),DB,Dublin Business School,Business and administration,252,2020
DB515,Business Studies (Human Resource Management),DB,Dublin Business School,Business and administration,244,2020
DB517,Marketing (Event Management),DB,Dublin Business School,Business and administration,238,2020
DB521,Accounting and Finance,DB,Dublin Business School,Business and administration,225,2020
DB524,Business (Information Systems),DB,Dublin Business School,Information and Communication Technologies (ICTs),342,2020
DB526,Business (Cloud Computing),DB,Dublin Business School,Information and Communication Technologies (ICTs),347,2020
DB527,Applied Social Care,DB,Dublin Business School,Social and behavioural sciences,234,2020
DB531,Marketing,DB,Dublin Business School,Business and administration,293,2020
DB562,Psychology,DB,Dublin Business School,Social and behavioural sciences,243,2020
DB566,Social Science,DB,Dublin Business School,Social and behavioural sciences,220,2020
DB567,Film and Creative Media,DB,Dublin Business School,Arts,218,2020
DB568,Law,DB,Dublin Business School,Law,219,2020
DB569,Business (Psychology),DB,Dublin Business School,Business and administration,252,2020
DC001,Education - Early Childhood Education,DC,Dublin City University,Education,440,2020
DC002,Education - Primary Teaching,DC,Dublin City University,Education,488,2020
DC003,Education - Primary Teaching - Gaeltacht Applicants,DC,Dublin City University,Education,445,2020
DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),DC,Dublin City University,Education,411,2020
DC009,Arts (Joint Honours) - Humanities,DC,Dublin City University,Arts,376,2020
DC010,Post Primary Teacher Education - Religious Education and English,DC,Dublin City University,Education,441,2020
DC011,Post Primary Teacher Education - Religious Education and History,DC,Dublin City University,Education,412,2020
DC012,Post Primary Teacher Education - Religious Education and Music,DC,Dublin City University,Education,378,2020
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,DC,Dublin City University,Education,419,2020
DC014,BA in Jazz and Contemporary Music Performance (audition),DC,Dublin City University,Arts,419,2020
DC110,Business Studies International,DC,Dublin City University,Languages,465,2020
DC111,Business Studies,DC,Dublin City University,Business and administration,488,2020
DC112,Global Business (France),DC,Dublin City University,Business and administration,517,2020
DC113,Global Business (Germany),DC,Dublin City University,Business and administration,462,2020
DC114,Global Business (Spain),DC,Dublin City University,Business and administration,522,2020
DC115,Accounting and Finance,DC,Dublin City University,Business and administration,510,2020
DC116,Global Business (USA),DC,Dublin City University,Business and administration,579,2020
DC117,Aviation Management / Aviation Management with Pilot Studies,DC,Dublin City University,Engineering and engineering trades,476,2020
DC118,Gnó agus Gaeilge / Business and Irish,DC,Dublin City University,Business and administration,359,2020
DC119,Global Business (Canada),DC,Dublin City University,Business and administration,564,2020
DC120,Enterprise Computing,DC,Dublin City University,Information and Communication Technologies (ICTs),357,2020
DC121,Computer Applications,DC,Dublin City University,Information and Communication Technologies (ICTs),400,2020
DC123,Data Science,DC,Dublin City University,Information and Communication Technologies (ICTs),465,2020
DC126,Actuarial Mathematics,DC,Dublin City University,Mathematics and statistics,560,2020
DC127,Common Entry into Actuarial and Financial Mathematics,DC,Dublin City University,Mathematics and statistics,532,2020
DC131,Communication Studies,DC,Dublin City University,Humanities (except languages),407,2020
DC132,Journalism,DC,Dublin City University,Journalism and information,429,2020
DC133,Multimedia,DC,Dublin City University,Arts,411,2020
DC155,Applied Language and Translation Studies,DC,Dublin City University,Languages,387,2020
DC161,Analytical Science,DC,Dublin City University,Physical sciences,498,2020
DC162,Chemical and Pharmaceutical Sciences,DC,Dublin City University,Physical sciences,521,2020
DC166,Environmental Science and Technology,DC,Dublin City University,Environment,433,2020
DC168,Genetics and Cell Biology,DC,Dublin City University,Biological and related sciences,512,2020
DC175,Physics General Entry (options),DC,Dublin City University,Physical sciences,419,2020
DC181,Biotechnology,DC,Dublin City University,Biological and related sciences,499,2020
