CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
Health,Children`s and General Nursing (Integrated),CK712,565,,,,565,,578,8,University College Cork (NUI),,,
Health,Mental Health Nursing,CK720,455,,452,,452,,467,8,University College Cork (NUI),,,
Health,Intellectual Disability Nursing,CK730,431,,,,429,,451,8,University College Cork (NUI),,,
Health,Midwifery,CK740,509,*,,,509,,543,8,University College Cork (NUI),,,
Health,Medicine  - Graduate Entry (GAMSAT required),CK791,60,*,60,*,60,*,61,8,University College Cork (NUI),#,,
Business and administration,International Business,AC120,294,,294,,294,,352,8,American College,,avp,
Humanities (except languages),Liberal Arts,AC137,271,,270,,270,,334,8,American College,,avp,
Information and Communication Technologies (ICTs),Computing and IT,CT125,242,,242,,242,,334,8,CCT College Dublin,,avp,
Business and administration,Business,CT325,253,,253,,253,,337,8,CCT College Dublin,,avp,
Education,Education - Primary Teaching,CM001,508,,,,508,,518,8,Marino Institute of Education,,,
Education,Education - Primary Teaching - Gaeltacht Applicants,CM002,462,,,,462,,506,8,Marino Institute of Education,#,,
Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,CM003,513,,,,513,,546,8,Marino Institute of Education,#,,
Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),CM004,480,,,,480,,618,8,Marino Institute of Education,#,,
Education,Education Studies,CM010,382,,327,,327,,440,8,Marino Institute of Education,,avp,
Education,Early Childhood Education,CM020,317,,,,317,,377,8,Marino Institute of Education,,,
Information and Communication Technologies (ICTs),Higher Certificate in Science in Computing Level 6 (2 years),DS602,120,,,,273,,403,6,Dorset College,,,
Business and administration,Bachelor of Business Level 7 (3 years),DS701,136,,,,136,,316,7,Dorset College,,,
Information and Communication Technologies (ICTs),BSc in Computing Level 7 (3 years),DS702,136,,,,136,,309,7,Dorset College,,,
Information and Communication Technologies (ICTs),Computing,DB500,234,,234,,204,,333,8,Dublin Business School,,avp,
Information and Communication Technologies (ICTs),Computing (Cloud Computing),DB501,,,178,,178,,309,8,Dublin Business School,,avp,
Information and Communication Technologies (ICTs),Computing (Data Analytics and Big Data),DB502,267,,233,,233,,351,8,Dublin Business School,,avp,
Information and Communication Technologies (ICTs),Computing (Software Development),DB503,,,,,,,0,8,Dublin Business School,,,
Information and Communication Technologies (ICTs),Computing (Web and Mobile Technology),DB504,,,,,,,0,8,Dublin Business School,,,
Arts,Audio Production and Music Project Management,DB510,217,,217,,217,,317,8,Dublin Business School,,avp,
Business and administration,Business Studies,DB512,243,,210,,210,,347,8,Dublin Business School,,avp,
Business and administration,Business Studies (Law),DB514,239,,225,,225,,346,8,Dublin Business School,,avp,
Business and administration,Business Studies (Human Resource Management),DB515,242,,217,,217,,318,8,Dublin Business School,,avp,
Business and administration,Marketing (Event Management),DB517,233,,225,,225,,336,8,Dublin Business School,,avp,
Business and administration,Marketing (Digital Media),DB518,307,,209,,209,,354,8,Dublin Business School,,avp,
Business and administration,Accounting and Finance,DB521,243,,228,,228,,379,8,Dublin Business School,,avp,
Information and Communication Technologies (ICTs),Business (Information Systems),DB524,247,,239,,239,,327,8,Dublin Business School,,avp,
Business and administration,Marketing (Digital Media and Cloud Computing),DB525,288,,288,,288,,337,8,Dublin Business School,,avp,
Information and Communication Technologies (ICTs),Business (Cloud Computing),DB526,244,,244,,244,,327,8,Dublin Business School,,avp,
Social and behavioural sciences,Applied Social Care,DB527,254,,219,,219,,308,8,Dublin Business School,,avp,
Social and behavioural sciences,Applied Social Care,DB528,146,,104,,104,,321,7,Dublin Business School,,avp,
Business and administration,Marketing,DB531,288,,176,,176,,368,8,Dublin Business School,,avp,
Arts,Sound Engineering and Music Production,DB534,139,,139,,139,,357,6,Dublin Business School,,avp,
Social and behavioural sciences,Psychology,DB562,244,,233,,233,,342,8,Dublin Business School,,avp,
Arts,Arts,DB563,143,,143,,137,,414,6,Dublin Business School,,avp,
Social and behavioural sciences,Social Science,DB566,262,,228,,228,,319,8,Dublin Business School,,avp,
Arts,Film and Creative Media,DB567,245,,213,,213,,298,8,Dublin Business School,,avp,
Law,Law,DB568,254,,228,,228,,347,8,Dublin Business School,,avp,
Business and administration,Business (Psychology),DB569,240,,240,,240,,338,8,Dublin Business School,,avp,
Business and administration,Business Studies,DB571,113,,113,,113,,462,7,Dublin Business School,,avp,
Business and administration,Business (Accounting),DB572,141,,141,,141,,464,7,Dublin Business School,,avp,
Business and administration,Business (Marketing),DB573,169,,137,,137,,367,7,Dublin Business School,,avp,
Information and Communication Technologies (ICTs),Business (Information Technology),DB574,173,,173,,173,,339,7,Dublin Business School,,avp,
Arts,Film and Creative Media,DB576,101,,101,,101,,399,7,Dublin Business School,,avp,
Education,Education - Early Childhood Education,DC001,445,,,,445,,474,8,Dublin City University,,,
Education,Education - Primary Teaching,DC002,518,*,,,518,*,543,8,Dublin City University,,,
Education,Education - Primary Teaching - Gaeltacht Applicants,DC003,489,,,,496,,509,8,Dublin City University,#,,
Education,Education - Primary Teaching (Church of Ireland Centre formerly CICE),DC004,451,,,,451,,,8,Dublin City University,#,,
Arts,Arts (Joint Honours) - Humanities,DC009,356,,,,356,,431,8,Dublin City University,,,
Education,Post Primary Teacher Education - Religious Education and English,DC010,384,,,,384,,441,8,Dublin City University,,,
Education,Post Primary Teacher Education - Religious Education and History,DC011,409,,,,409,,455,8,Dublin City University,,,
Education,Post Primary Teacher Education - Religious Education and Music,DC012,409,,,,409,,451,8,Dublin City University,#,,
Education,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,DC013,413,,,,413,,510,8,Dublin City University,,,
Arts,BA in Jazz and Contemporary Music Performance (audition),DC014,311,,,,311,,634,8,Dublin City University,#,,
Business and administration,Business Studies International,DC110,498,,,,498,,526,8,Dublin City University,#,,
Business and administration,Business Studies,DC111,511,,,,511,,532,8,Dublin City University,,,
Business and administration,Global Business (France),DC112,542,*,,,542,*,564,8,Dublin City University,,,
Business and administration,Global Business (Germany),DC113,484,,,,484,,529,8,Dublin City University,,,
Business and administration,Global Business (Spain),DC114,544,,,,544,,562,8,Dublin City University,,,
Business and administration,Accounting and Finance,DC115,544,,,,544,,578,8,Dublin City University,,,
Business and administration,Global Business (USA),DC116,613,*,,,613,*,625,8,Dublin City University,,,
Business and administration,Aviation Management / Aviation Management with Pilot Studies,DC117,484,,,,484,,520,8,Dublin City University,,,
Business and administration,Gnó agus Gaeilge / Business and Irish,DC118,368,,,,368,,419,8,Dublin City University,,,
Business and administration,Global Business (Canada),DC119,601,,,,601,,601,8,Dublin City University,,,
Information and Communication Technologies (ICTs),Computing for Business,DC120,403,,402,,402,,440,8,Dublin City University,,,
Information and Communication Technologies (ICTs),Computer Science,DC121,475,,,,476,,498,8,Dublin City University,,,
Information and Communication Technologies (ICTs),Data Science,DC123,501,,,,501,,542,8,Dublin City University,,,
Mathematics and statistics,Actuarial Mathematics,DC126,577,*,,,577,*,601,8,Dublin City University,,,
Mathematics and statistics,Common Entry into Actuarial and Financial Mathematics,DC127,541,,,,541,,566,8,Dublin City University,,,
Journalism and information,Communication Studies,DC131,421,,,,421,,479,8,Dublin City University,,,
Journalism and information,Journalism,DC132,452,,,,452,,487,8,Dublin City University,,,
Arts,Multimedia,DC133,435,,,,435,,473,8,Dublin City University,,,
Languages,Applied Language and Translation Studies,DC155,427,,,,431,,476,8,Dublin City University,,,
Physical sciences,Analytical Science,DC161,498,,,,498,,521,8,Dublin City University,,,
Physical sciences,Chemical and Pharmaceutical Sciences,DC162,531,*,,,532,,543,8,Dublin City University,,,
Physical sciences,Chemical Sciences General Entry (Undenominated Entry),DC163,466,*,,,466,*,510,8,Dublin City University,,,
Environment,Environmental Science and Technology,DC166,423,*,,,423,*,466,8,Dublin City University,,,
Biological and related sciences,Genetics and Cell Biology,DC168,543,*,,,543,*,555,8,Dublin City University,,,
Physical sciences,Physics General Entry (options),DC175,400,,,,400,,479,8,Dublin City University,,,
Biological and related sciences,Biological Sciences General Entry (Undenominated Entry),DC180,530,,,,530,,543,8,Dublin City University,,,
Biological and related sciences,Biotechnology,DC181,530,,,,530,,544,8,Dublin City University,,,
Engineering and engineering trades,Electronic and Computer Engineering (with choice of four majors),DC190,488,,,,488,,532,8,Dublin City University,,,
Engineering and engineering trades,Mechatronic Engineering,DC193,490,,,,490,,532,8,Dublin City University,,,
Environment,Sustainable Systems and Energy,DC194,476,,,,488,,509,8,Dublin City University,,,
Engineering and engineering trades,Mechanical and Manufacturing Engineering,DC195,500,,,,500,,521,8,Dublin City University,,,
Health,Biomedical Engineering,DC197,510,,,,510,,543,8,Dublin City University,,,
Engineering and engineering trades,Common Entry into Engineering (Undenominated Entry),DC200,511,,510,,510,,543,8,Dublin City University,,,
Health,Sport Science and Health,DC202,511,,,,511,,532,8,Dublin City University,,,
Education,Science Education,DC203,462,,,,462,,509,8,Dublin City University,,,
Health,Athletic Therapy and Training,DC204,558,,,,558,,578,8,Dublin City University,,,
Education,Physical Education with Biology,DC205,565,,,,565,,578,8,Dublin City University,,,
Education,Physical Education with Mathematics,DC206,521,,,,521,,544,8,Dublin City University,,,
Social and behavioural sciences,Psychology and Mathematics,DC207,521,,,,521,,543,8,Dublin City University,,,
Social and behavioural sciences,Psychology,DC208,565,,,,565,,577,8,Dublin City University,,,
Health,Health and Society,DC209,477,,,,477,,509,8,Dublin City University,,,
Social and behavioural sciences,Psychology and Disruptive Technologies,DC210,506,,,,506,,532,8,Dublin City University,,,
Health,General Nursing,DC215,456,*,,,456,*,485,8,Dublin City University,,,
Health,Mental Health Nursing,DC216,420,,,,420,,440,8,Dublin City University,,,
Health,Intellectual Disability Nursing,DC217,382,,,,382,,402,8,Dublin City University,,,
Health,Children`s and General Nursing (Integrated),DC218,521,*,,,521,*,554,8,Dublin City University,,,
Social and behavioural sciences,"Economics, Politics and Law",DC230,431,,,,431,,468,8,Dublin City University,,,
Social and behavioural sciences,International Relations,DC231,398,,,,399,,458,8,Dublin City University,,,
Law,Law and Society (BCL),DC232,469,,,,469,,511,8,Dublin City University,,,
Education,Education and Training - Daytime and Flexible Delivery Mode (full-time),DC235,302,,,,302,,370,8,Dublin City University,,,
Humanities (except languages),Social Sciences and Cultural Innovation,DC238,387,,,,387,,440,8,Dublin City University,,,
Business and administration,"Marketing, Innovation and Technology",DC240,499,,,,499,,532,8,Dublin City University,,,
Business and administration,Digital Business and Innovation,DC241,509,,,,509,,533,8,Dublin City University,,,
Arts,Arts (Joint Honours) - Media Studies,DC291,350,,,,350,,440,8,Dublin City University,,,
Arts,Arts (Joint Honours) - Law,DC292,400,,,,400,,440,8,Dublin City University,,,
Arts,Arts (Joint Honours) - International Languages,DC293,379,,,,379,,467,8,Dublin City University,,,
Environment,Climate and Environmental Sustainability,DC294,475,,,,475,,489,8,Dublin City University,,,
Arts,Arts (Joint Honours) - Politics,DC295,349,,,,349,,409,8,Dublin City University,,,
Business and administration,Business - Applied Entrepreneurship,DL701,162,,162,,189,,339,7,"Dun Laoghaire Institute of Art, Design and Technology",,avp,
Business and administration,Arts Management,DL822,254,,,,254,,356,8,"Dun Laoghaire Institute of Art, Design and Technology",,,
Business and administration,Business Management,DL823,220,,,,220,,318,8,"Dun Laoghaire Institute of Art, Design and Technology",,,
Social and behavioural sciences,Applied Psychology,DL825,418,,413,,413,,462,8,"Dun Laoghaire Institute of Art, Design and Technology",,,
Arts,Graphic Design,DL826,591,,,,591,,824,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,
Arts,Art,DL827,574,,,,574,,906,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,
Arts,Animation,DL832,989,,,,989,,1098,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,
Arts,Photography and Visual Media,DL833,671,,671,,665,,877,8,"Dun Laoghaire Institute of Art, Design and Technology",#,avp,
Information and Communication Technologies (ICTs),Creative Computing,DL836,235,,,,235,,339,8,"Dun Laoghaire Institute of Art, Design and Technology",,,
Humanities (except languages),New Media Studies,DL837,298,,293,,293,,359,8,"Dun Laoghaire Institute of Art, Design and Technology",,,
Arts,Creative Music Production,DL838,713,,,,713,,979,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,
Information and Communication Technologies (ICTs),Interaction and User Experience Design,DL839,757,,,,757,,1087,8,"Dun Laoghaire Institute of Art, Design and Technology",#,avp,
Business and administration,Digital Marketing,DL840,210,,,,210,,347,8,"Dun Laoghaire Institute of Art, Design and Technology",,,
Arts,English and Equality Studies,DL841,277,,277,,277,,357,8,"Dun Laoghaire Institute of Art, Design and Technology",,avp,
Arts,Film,DL843,987,,874,,874,,1000,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,
Arts,Television,DL844,566,,,,566,,947,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,
Arts,Design for Film (degree options),DL845,628,,,,630,,900,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,
Business and administration,Business,GC200,269,,242,,242,,377,8,Griffith College,,avp,
Business and administration,Accounting and Finance,GC201,260,,226,,226,,270,8,Griffith College,,avp,
Information and Communication Technologies (ICTs),Computing Science,GC230,300,,289,,289,,351,8,Griffith College,,avp,
Journalism and information,Communications and Media Production,GC250,,,,,,,,8,Griffith College,,,
Business and administration,Business,GC300,264,,264,,264,,377,8,Griffith College,,avp,
Business and administration,Accounting and Finance,GC301,,,251,,251,,251,8,Griffith College,,avp,
Business and administration,Business - HRM,GC302,377,,377,,329,,377,8,Griffith College,,avp,
Business and administration,Business (Marketing),GC307,289,,270,,270,,289,8,Griffith College,,avp,
Information and Communication Technologies (ICTs),Computing,GC335,171,,171,,171,,278,7,Griffith College,,avp,
Business and administration,Business,GC400,250,,228,,228,,318,8,Griffith College,,avp,
Business and administration,Accounting and Finance,GC401,242,,242,,242,,337,8,Griffith College,,avp,
Business and administration,Business (HRM),GC402,,,,,,,0,8,Griffith College,,,
Law,Law,GC403,245,,242,,242,,319,8,Griffith College,,avp,
Business and administration,Business (Marketing),GC407,264,,264,,176,,318,8,Griffith College,,avp,
Business and administration,Marketing,GC410,122,,122,,122,,337,7,Griffith College,,avp,
Business and administration,Business,GC411,180,,180,,180,,378,7,Griffith College,,avp,
Information and Communication Technologies (ICTs),Computing Science,GC430,251,,251,,251,,325,8,Griffith College,,avp,
Information and Communication Technologies (ICTs),Computing,GC435,108,,108,,108,,349,7,Griffith College,,avp,
Journalism and information,Communications and Media Production,GC450,225,,225,,225,,321,8,Griffith College,,avp,
Arts,Music Production for Games (portfolio),GC460,,,,,,,0,6,Griffith College,#,avp,
Arts,Design Communication (portfolio),GC462,300,,,,300,,300,8,Griffith College,#,avp,
Journalism and information,Communications,GC465,118,,118,,118,,395,7,Griffith College,,avp,
Arts,Film and TV Production,GC466,121,,121,,121,,418,7,Griffith College,,avp,
Arts,Photographic Media,GC470,163,,163,,163,,352,7,Griffith College,,avp,
Arts,Photography,GC475,125,,125,,125,,343,6,Griffith College,,avp,
Arts,Interior Architecture (portfolio),GC489,288,,274,,274,,429,8,Griffith College,#,avp,
Arts,Interior Design,GC490,137,,137,,137,,359,7,Griffith College,,avp,
Arts,Fashion Design (portfolio),GC494,351,,,,309,,588,8,Griffith College,#,avp,
Arts,Fashion,GC495,110,,110,,110,,398,7,Griffith College,,avp,
Business and administration,Business,BY001,210,,210,,210,,323,8,IBAT College Dublin,,avp,
Business and administration,Business,BY002,347,,171,,171,,347,7,IBAT College Dublin,,avp,
Business and administration,Accounting and Finance,ID001,,,,,,,0,8,ICD Business School,,avp,
Business and administration,Business Studies,ID002,,,,,273,,340,8,ICD Business School,,avp,
Arts,"First Year Art and Design (Common Entry,portfolio)",AD101,554,,,,554,,604,8,National College of Art and Design,#,,
Arts,Graphic Design and Moving Image Design (portfolio),AD102,538,,,,538,,625,8,National College of Art and Design,#,,
Arts,Textile and Surface Design and Jewellery and Objects (portfolio),AD103,505,,,,505,,581,8,National College of Art and Design,#,,
Education,"Education and Design or Fine Art (Second Level Teaching,portfolio))",AD202,591,,,,591,,620,8,National College of Art and Design,#,,
Arts,Fine Art (portfolio),AD204,514,,,,514,,583,8,National College of Art and Design,#,,
Arts,Fashion Design (portfolio),AD211,760,,679,,679,,679,8,National College of Art and Design,#,,
Arts,Product Design (portfolio),AD212,413,,,,413,,569,8,National College of Art and Design,#,,
Arts,Visual Culture,AD215,337,,300,,300,,380,8,National College of Art and Design,,,
Arts,Illustration (portfolio),AD217,738,,,,738,,,8,National College of Art and Design,#,,
Information and Communication Technologies (ICTs),Interaction Design (portfolio),AD222,444,,,,444,,488,8,National College of Art and Design,#,,
Information and Communication Technologies (ICTs),Computing (Degree Award options),NC003,271,,,,271,,334,8,National College of Ireland (NCI),,,
Business and administration,Human Resource Management,NC005,301,,,,301,,360,8,National College of Ireland (NCI),,,
Business and administration,Business,NC009,300,,,,300,,371,8,National College of Ireland (NCI),,,
Social and behavioural sciences,Psychology,NC010,420,,,,420,,465,8,National College of Ireland (NCI),,,
Business and administration,Marketing Practice,NC020,270,,,,270,,329,8,National College of Ireland (NCI),,,
Business and administration,Accounting and Finance,NC022,330,,,,330,,390,8,National College of Ireland (NCI),,,
Information and Communication Technologies (ICTs),Technology Management (with specialisations),NC023,266,,,,266,,356,8,National College of Ireland (NCI),,,
Education,Early Childhood Education and Care,NC030,251,,251,,251,,308,8,National College of Ireland (NCI),,avp,
Information and Communication Technologies (ICTs),Computing,NC102,225,,,,225,,366,6,National College of Ireland (NCI),,,
Business and administration,Business,NC103,252,,,,252,,372,6,National College of Ireland (NCI),,,
Information and Communication Technologies (ICTs),Business Computing,NC104,242,,,,242,,390,6,National College of Ireland (NCI),,,
Health,Medicine - Undergraduate Entry (HPAT required),RC001,741,,740,*,740,*,741,8,RCSI University of Medicine & Health Sciences,#,,
Health,Physiotherapy,RC004,589,*,589,*,589,*,589,8,RCSI University of Medicine & Health Sciences,,,
Health,Pharmacy,RC005,613,*,613,,602,*,613,8,RCSI University of Medicine & Health Sciences,,,
Health,Medicine - Graduate Entry (GAMSAT required),RC101,,,,,62,*,66,8,RCSI University of Medicine & Health Sciences,#,,
Education,Montessori Education,NM701,137,,137,,137,,387,7,St Nicholas Montessori College Ireland,,avp,
Education,Montessori Education,NM801,262,,,,262,,320,8,St Nicholas Montessori College Ireland,,avp,
Social and behavioural sciences,Psychology,NM802,228,,,,228,,338,8,St Nicholas Montessori College Ireland,,avp,
Engineering and engineering trades,Electronic and Information Engineering,TU605,190,,,,190,,339,6,Technological University Dublin,,,
Engineering and engineering trades,Mechanical Engineering (General Entry),TU606,192,,,,192,,359,6,Technological University Dublin,,,
Personal services,Bar and Restaurant Management,TU641,243,,,,243,,366,6,Technological University Dublin,,,
Personal services,Culinary Arts (Cuisine and Wellness),TU642,154,,,,AQA,,330,6,Technological University Dublin,,avp,
Personal services,Culinary Arts (Professional Cookery Practice),TU643,242,,,,242,,418,6,Technological University Dublin,,,
Personal services,Food Management and Entrepreneurship,TU644,250,,,,250,,451,6,Technological University Dublin,,,
Manufacturing and processing,Food Science and Management,TU645,251,,,,251,,473,6,Technological University Dublin,,,
Biological and related sciences,Applied Biology,TU651,361,,,,361,,474,6,Technological University Dublin,,,
Information and Communication Technologies (ICTs),Computing,TU652,240,,,,240,,391,6,Technological University Dublin,,,
Health,Pharmacy Technician Studies,TU654,350,,,,338,,452,6,Technological University Dublin,,,
Information and Communication Technologies (ICTs),Computing (Networking Technologies) Learn and Work,TU655,502,,,,502,,551,6,Technological University Dublin,#,avp,
Business and administration,Business (campus options),TU670,224,,,,224,,378,6,Technological University Dublin,,,
Business and administration,Business Management,TU673,301,,,,301,,495,6,Technological University Dublin,,,
Business and administration,Business Studies,TU674,307,,,,307,,484,6,Technological University Dublin,,,
Business and administration,Marketing,TU675,301,,,,301,,431,6,Technological University Dublin,,,
Business and administration,Retail Management and Marketing,TU676,290,,,,290,,386,6,Technological University Dublin,,,
Engineering and engineering trades,Automation Engineering,TU701,243,,,,243,,346,7,Technological University Dublin,,,
Environment,Sustainable Energy and Environmental Engineering,TU702,249,,,,249,,444,7,Technological University Dublin,,,
Engineering and engineering trades,Building Engineering,TU703,273,,,,273,,381,7,Technological University Dublin,,,
Architecture and construction,Civil Engineering,TU704,260,,,,260,,378,7,Technological University Dublin,,,
Engineering and engineering trades,Electrical and Control Engineering,TU705,272,,,,272,,399,7,Technological University Dublin,,,
Engineering and engineering trades,Electrical Services Engineering,TU706,245,,,,245,,327,7,Technological University Dublin,,,
Engineering and engineering trades,Engineering (Common Entry with Award options),TU708,AQA,,263,,263,,384,7,Technological University Dublin,,avp,v
Engineering and engineering trades,Engineering (General Entry),TU709,400,,,,400,,531,7,Technological University Dublin,,,
Engineering and engineering trades,Mechatronic Engineering,TU711,225,,,,225,,373,7,Technological University Dublin,,,
Engineering and engineering trades,Computer Engineering,TU713,222,,,,222,,400,7,Technological University Dublin,,,
Engineering and engineering trades,Electronics and Communications Engineering,TU714,262,,,,262,,420,7,Technological University Dublin,,,
Engineering and engineering trades,Networking Technology,TU716,249,,,,249,,367,7,Technological University Dublin,,,
Engineering and engineering trades,Mechanical Engineering,TU717,301,,,,301,,399,7,Technological University Dublin,,,
Manufacturing and processing,"Design,Technology and Innovation",TU719,261,,,,261,,391,7,Technological University Dublin,,,
Engineering and engineering trades,Automotive Management and Technology,TU720,232,,,,232,,339,7,Technological University Dublin,,,
Engineering and engineering trades,Aviation Technology,TU721,302,,,,302,,423,7,Technological University Dublin,,,
Manufacturing and processing,Process Instrumentation and Automation Learn and Work (Test&Interview),TU722,346,,346,,346,,548,7,Technological University Dublin,#,avp,
Engineering and engineering trades,Mechanical Engineering (General Entry),TU725,222,,,,222,,398,7,Technological University Dublin,,,
Engineering and engineering trades,Electronic Engineering (General Entry),TU726,215,,,,215,,349,7,Technological University Dublin,,,
Business and administration,"Auctioneering, Valuation and Estate Agency",TU731,330,,,,330,,419,7,Technological University Dublin,,,
Personal services,Sports Management and Coaching,TU735,270,,,,270,,377,7,Technological University Dublin,,,
Biological and related sciences,Sports Science and Health,TU736,484,,,,484,,532,7,Technological University Dublin,,,
Personal services,Sports Studies,TU737,250,,,,250,,378,7,Technological University Dublin,,,
Personal services,Baking and Pastry Arts Management,TU741,231,,,,231,,456,7,Technological University Dublin,,,
Personal services,Culinary Arts,TU742,158,,,,158,,328,7,Technological University Dublin,,,
Personal services,Hospitality Management,TU745,252,,,,252,,368,7,Technological University Dublin,,,
Personal services,International Hospitality and Tourism Management,TU746,157,,144,,144,,347,7,Technological University Dublin,,,
Personal services,Tourism Management,TU747,263,,,,263,,367,7,Technological University Dublin,,,
Biological and related sciences,Biosciences,TU751,418,,,,418,,532,7,Technological University Dublin,,,
Biological and related sciences,DNA and Forensic Analysis,TU752,500,,442,,442,,500,7,Technological University Dublin,,,
Physical sciences,Industrial and Environmental Physics,TU754,273,,,,273,,476,7,Technological University Dublin,,,
Physical sciences,Science (General Entry),TU755,361,,,,361,,523,7,Technological University Dublin,,,
Information and Communication Technologies (ICTs),Computing,TU756,201,,,,201,,388,7,Technological University Dublin,,,
Information and Communication Technologies (ICTs),Computing (Information Technology),TU757,227,,,,227,,388,7,Technological University Dublin,,,
Information and Communication Technologies (ICTs),Digital Forensics and Cyber Security,TU758,223,,,,223,,356,7,Technological University Dublin,,,
Biological and related sciences,Bioanalysis,TU760,360,,,,360,,426,7,Technological University Dublin,,,
Health,Ophthalmic Dispensing,TU761,316,,,,316,,462,7,Technological University Dublin,,,
Physical sciences,Medicinal Chemistry and Pharmaceutical Sciences,TU762,320,,,,320,,520,7,Technological University Dublin,,,
Biological and related sciences,Pharmaceutical Science,TU763,391,,,,391,,473,7,Technological University Dublin,,,
Business and administration,Business (options),TU772,AQA,,250,,AQA,,408,7,Technological University Dublin,,avp,v
Business and administration,Advertising and Marketing Communications,TU780,201,,190,,190,,371,7,Technological University Dublin,,,
Business and administration,Digital Marketing,TU781,223,,,,223,,339,7,Technological University Dublin,,,
Business and administration,Digital Marketing,TU782,200,,185,,185,,340,7,Technological University Dublin,,,
Business and administration,Business (options),TU787,200,,180,,180,,429,7,Technological University Dublin,,,
Business and administration,Accounting and Finance (campus options),TU788,231,,,,231,,462,7,Technological University Dublin,,,
Education,Early Childhood Care and Education (campus options),TU790,223,,,,223,,414,7,Technological University Dublin,,,
Welfare,Applied Social Studies in Social Care,TU791,320,,,,320,,399,7,Technological University Dublin,,,
Social and behavioural sciences,Community and Youth Development,TU792,AQA,,242,,AQA,,310,7,Technological University Dublin,,avp,v
Arts,Visual Merchandising and Display,TU795,618,,,,618,,900,7,Technological University Dublin,#,,
Arts,Creative Digital Media,TU796,224,,,,224,,388,7,Technological University Dublin,,,
Environment,Sustainable Energy Engineering,TU801,235,,,,235,,329,8,Technological University Dublin,,,
Engineering and engineering trades,Electrical Services and Energy Management,TU802,309,,,,290,,359,8,Technological University Dublin,,,
Engineering and engineering trades,Engineering (Common Entry with Award options),TU804,270,,,,270,,361,8,Technological University Dublin,,,
Engineering and engineering trades,Engineering (General Entry),TU805,466,,465,,465,,499,8,Technological University Dublin,,,
Engineering and engineering trades,Computer Engineering in Mobile Systems,TU807,274,,,,274,,339,8,Technological University Dublin,,,
Engineering and engineering trades,Mechatronic Engineering,TU810,271,,,,271,,399,8,Technological University Dublin,,,
Arts,Product Design,TU811,440,,434,,434,,479,8,Technological University Dublin,,,
Manufacturing and processing,"Design,Technology and Innovation",TU812,278,,,,278,,335,8,Technological University Dublin,,,
Transport services,Sustainable Transport Management,TU814,253,,253,,253,,349,8,Technological University Dublin,,avp,
Engineering and engineering trades,Mechanical Engineering (General Entry),TU828,300,,,,300,,386,8,Technological University Dublin,,,
Engineering and engineering trades,Electronic Engineering (General Entry),TU829,248,,248,,243,,354,8,Technological University Dublin,,avp,
Architecture and construction,Architectural Technology,TU831,423,,,,423,,455,8,Technological University Dublin,,,
Architecture and construction,Architecture (Suitability Test and Interview),TU832,644,,638,,638,,682,8,Technological University Dublin,#,,
Architecture and construction,Construction Management,TU833,396,,,,396,,429,8,Technological University Dublin,,,
Architecture and construction,Geographic Science,TU834,315,,,,315,,370,8,Technological University Dublin,,,
Architecture and construction,Planning and Environmental Management,TU835,330,,,,330,,393,8,Technological University Dublin,,,
Architecture and construction,Property Economics (Valuation Surveying),TU836,411,,,,411,,444,8,Technological University Dublin,,,
Architecture and construction,Quantity Surveying and Construction Economics,TU837,413,,,,413,,455,8,Technological University Dublin,,,
Environment,Sustainable Timber Technology,TU838,307,,271,,271,,385,8,Technological University Dublin,,avp,
Environment,"Analytical Chemistry (Environmental, Forensic and Pharmaceutical)",TU851,400,,,,400,,464,8,Technological University Dublin,,,
Physical sciences,Chemical Sciences with Medicinal Chemistry,TU852,477,,,,477,,499,8,Technological University Dublin,,,
Biological and related sciences,Science (General Entry),TU854,510,,,,510,,532,8,Technological University Dublin,,,
Physical sciences,Science with Nanotechnology,TU855,322,,,,322,,382,8,Technological University Dublin,,,
Information and Communication Technologies (ICTs),Computer Science,TU856,499,,,,499,,531,8,Technological University Dublin,,,
Information and Communication Technologies (ICTs),Computer Science (Infrastructure),TU857,403,,,,403,,443,8,Technological University Dublin,,,
Information and Communication Technologies (ICTs),Computer Science (International),TU858,395,,,,395,,444,8,Technological University Dublin,,,
Information and Communication Technologies (ICTs),Computing,TU859,251,,,,251,,336,8,Technological University Dublin,,,
Information and Communication Technologies (ICTs),Computing (Information Technology),TU860,270,,,,270,,356,8,Technological University Dublin,,,
Information and Communication Technologies (ICTs),Computing with Language (French/German/Spanish),TU861,235,,235,,235,,370,8,Technological University Dublin,,avp,
Information and Communication Technologies (ICTs),Computing with Artificial Intelligence Machine Learning,TU862,262,,,,262,,310,8,Technological University Dublin,,,
